"No_of_clusters","ASW"
1,0
2,0.583103687511252
3,0.377183239022728
4,0.53749725851357
5,0.343564482264387
6,0.34820502833869
7,0.394023212329961
8,0.371843728108207
9,0.415686428005777
10,0.352404892054107
