"No_of_clusters","ASW"
1,0
2,0.934407236936746
3,0.934147338011732
4,0.949319490412476
5,0.898998636559055
6,0.608365740587779
7,0.626699013342216
8,0.55575564929482
9,0.48825185348297
10,0.485140282531182
