"No_of_clusters","ASW"
1,0
2,0.920836734340436
3,0.57384256967598
4,0.563873615389253
5,0.544784330547522
6,0.493569121951885
7,0.501028112473382
8,0.481619301803273
9,0.413019263679442
10,0.430460936034689
11,0.535599851882306
12,0.610381115707796
13,0.58758461297405
