"No_of_clusters","ASW"
1,0
2,0.606005085828776
3,0.38012315117255
4,0.531399076503117
5,0.46387961838706
6,0.219237643563168
7,0.312893616828949
8,0.266968237092181
9,0.32562721435499
10,0.235997145674048
11,0.362757721926655
12,0.375297626291808
13,0.374066717085295
